Teachers training. Provision of transportation and equipment & recreational activities,تدريب المعلمين، وتوفير وسائل النقل والمعدات، والأنشطة الترفيهية
Reproductive health (e.g. antenatal postnatal & family planning),الصحة الإنجابية (على سبيل المثال قبل الولادة، بعد الولادة وتنظيم الأسرة)
Core NFIs (household items including mats mattresses kitchen sets & jerry cans),المواد غير الغذائية الأساسية (الأدوات المنزلية بما في ذلك الحصير والفرش وأواني المطبخ وجراكن)
Community development projects in host communities (e.g. quick impact projects [QIPs] community-based protection projects),مشاريع التنمية المجتمعية في المجتمعات المضيفة (مثل المشاريع ذات الأثر السريع [المشاريع ذات الأثر السريع]، ومشاريع الحماية المجتمعية)
Facilitation of conditions for indigenous traditional spiritual or religious supports including communal healing practices,تسهيل شروط الدعم التقليدي والروحي أو الديني المحلي، بما في ذلك الممارسات العلاجية المجتمعية
Information on the current situation  relief efforts or available services,معلومات عن الوضع الحالي، وجهود الإغاثة أو الخدمات المتاحة
Livelihoods projects (income-generating activities life skills literacy classes etc.),مشاريع سبل العيش (أنشطة توليد الدخل، والمهارات الحياتية ودروس محو الأمية، وغيرها)
Mass Campaigns (Events TV Radio etc),الحملات الجماهيرية (أحداث، تلفزيون، راديو، الخ)
Messages on Child Protection (CP) issues or prevention of Gender-Based Violence (GBV) (include information education & communication [IEC] materials),رسائل حول قضايا حماية الطفل (CP) أو الوقاية من العنف القائم على نوع الجنس (GBV) (تشمل المعلومات والتعليم ومواد الاتصال [IEC] )
Orientation training or advocacy with aid workers/agencies on including social/psychosocial child protection or GBV considerations in programming (provide details on the MHPSS & Protection Services Info sheet),التوجيه أو التدريب أو التوعية مع عمال الاغاثة / الوكالات حول تضمين اعتبارات اجتماعية/ نفسية و بشأن حماية الطفل والعنف الجنساني في البرمجة (تقديم تفاصيل عن ورقة معلومات الخدمات النفسية الاجتماعية و الصحة العقلية و خدمات الحماية )
Support for communal spaces/meetings to discuss problem-solve and organize community members to respond to the emergency,دعم المساحات المجتمعية / الاجتماعات لمناقشة، حل المشاكل وتنظيم أفراد المجتمع للاستجابة للطوارئ
Best Interest Assessment (BIA) and/or Best Interest Determination (BID) process for unaccompanied separated and other children at risk,عملية تقييم المصالح (BIA) و/أوتحديد المصالح (BID) للأطفال غير المصحوبين، والمنفصلين وغيرهم من الأطفال المعرضين للخطر
Referral of protection cases to non-protection services (health education employment etc.),إحالة حالات الحماية إلى خدمات عدم الحماية (الصحة، التعليم، والعمل، الخ) 
Access to information and registration procedures (early appointments transport to Registration Centers),إمكانية الوصول إلى المعلومات وإجراءات التسجيل (المواعيد المبكرة والنقل إلى مراكز التسجيل)
Information Dissemination/Awareness-raising (Infoline Service leaflets etc).,نشر المعلومات / (خط المعلومات ومنشورات الخدمة، الخ) لزيادة الوعي.
Training of Government officials CBOs Civil society etc on Refugee,تدريب موظفي الحكومة ومنظمات المجتمع المحلي، والمجتمع المدني، وغيرها على الاستجابة لقضايا اللاجئين
Introduce a supplementary feeding programme to malnourished boys and girls under the age of five and pregnant and lactating mothers in camps and local communities,وضع برنامج للتغذية التكميلية للذين يعانون من سوء التغذية من الفتيان والفتيات دون سن الخامسة والحوامل والأمهات المرضعات في المخيمات والمجتمعات المحلية
Structured recreational or creative activities (do not include activities at child or youth friendly spaces that are covered in 4.1 and 4.2),الأنشطة الترفيهية أو الإبداعية المهيكلة (لا تشمل الأنشطة في المساحات المناسبة للأطفال أو الشباب التي تشملها 4.1 و 4.2)
Distribution of vouchers to non-camp refugees; Distribution of food items to non-registered Syrian refugees,توزيع قسائم للاجئين خارج المخيمات؛ توزيع المواد الغذائية على اللاجئين السوريين غير المسجلين
Medical services for survivors of gender-based violence (GBV) (including clinical management of rape [CMR]),الخدمات الطبية للناجين من (العنف الجنساني) (بما في ذلك الإدارة الطبية لحالات الاغتصاب [CMR])
Registration and Reception centers/facilities - provision of documentation (Asylum Seeker Certificate),مراكز / مرافق التسجيل والاستقبال - توفير الوثائق (شهادة طالب اللجوء)
Best Interest Assessment (BIA) and/or Best Interest Determination (BID) process for unaccompanied,عملية تقييم المصالح (BIA) و/أوتحديد المصالح (BID) للأطفال غير المصحوبين، والمنفصلين وغيرهم من الأطفال المعرضين للخطر
Targeted programs for children associated with armed forces and/or armed groups (CAAFAG),البرامج الموجهة للأطفال المرتبطين بالقوات المسلحة و / أو الجماعات المسلحة (CAAFAG)
Family tracing and reunification for unaccompanied and/or separated children (UASC),تتبع الأسر ولم شمل الأطفال غير المصحوبين و / أو المنفصلين  مع ذويهم
Facilitation of WASH committees to undertake hygiene promotion in their communites,التيسير للجان المياه والصرف الصحي اجرائات تعزيز النظافة الصحية في مجتمعاتهم
Maintenance of sanitation facilities (toilet superstructures and septic tanks),صيانة مرافق الصرف الصحي (الإنشاءات العلوية للمراحض وخزانات الصرف الصحي)
Regular monitoring of water supply system by communiy water supply technitians,الرصد المنتظم لنظام إمدادات المياه من قبل فنيي إمدادات المياه
Psychosocial support to classes/groups of children at schools/learning places,الدعم النفسي والاجتماعي للصفوف / مجموعات الأطفال في المدارس / أماكن التعلم
Psychosocial support to teachers/other personnel at schools/learning places,الدعم النفسي والاجتماعي للمعلمين / غيرهم من العاملين في المدارس / أماكن التعلم
Construction of additional sanitation facilities (toilet superstructures),بناء مرافق صرف صحي إضافية (خزانات الصرف الصحي)
Support for social support activities that are initiated by the community,الدعم لأنشطة الدعم الاجتماعي التي يبادر فيها  المجتمع
Modification of sanitation facilities for people with mobility impairment,تعديل مرافق الصرف الصحي للأشخاص الذين يعانون من إعاقة حركية
Regular monitoring of sanitation facilities by community WASH technitians,الرصد المنتظم لمرافق الصرف الصحي من قبل فنيي المياه والصرف الصحي في المجتمع
Recruitment of refugee community members to be water supply technitians,توظيف أعضاء مجتمع اللاجئين ليكونو فنيي إمدادات المياه
Other (describe in column G of MHPSS & Protection Services Info sheet),غيرها (وصف في العمود G في ورقة معلومات الخدمات النفسية الاجتماعية و الصحة العقلية و خدمات الحماية )
Training of refugee community members to be water supply technitians,تدريب أعضاء مجتمع اللاجئين ليكونو فنيي إمدادات المياه
Multisectoral services for survivers of gender-based violence (GBV),خدمات متعددة القطاعات للناجين من (العنف الجنساني)
Alternative care for unaccompanied and/or separated children (UASC),الرعاية البديلة للأطفال غير المصحوبين و / أو المنفصلين (UASC)
Support for emergency relief that is initiated by the community,دعم الإغاثة الطارئة التي يبادر فيها  المجتمع
Construction of additional sanitation facilities (septic tanks),بناء مرافق صرف صحي إضافية (خزانات الصرف الصحي)
Complaint Mecanisms/ Accountability and Anti-fraud procedures,آليات تقديم الشكاوى / إجراءات المساءلة ومكافحة الاحتيال
Maintenance works for water station and water supply network,أعمال الصيانة لمحطة المياه وشبكة إمدادات المياه
Case management for survivors of gender-based violence (GBV),إدارة حالات الناجين من (العنف قائم على نوع الجنس)
Material assistance to vulnerable families (Non-food items),المساعدة المادية للأسر المضطهدة (المواد غير الغذائية)
Facilitation of community supports to vulnerable persons,تسهيل دعم المجتمع للأشخاص المضطهدين
Targeted programs for children engaged in child labour,البرامج الموجهة للأطفال تشارك في عمالة الأطفال
Appointment of security guards for water supply system,تعيين حراس أمن لنظام إمدادات المياه
Facilitation of conditions for indigenous traditional,تسهيل شروط الدعم التقليدي والروحي أو الديني المحلي، بما في ذلك الممارسات العلاجية المجتمعية
Screening for malnutrition/ Treatment of malnutrition,الكشف عن سوء التغذية / علاج سوء التغذية
Distribution of food parcels to vulnerable Jordanians,توزيع طرود غذائية للأردنيين الضعفاء
Shelter for survivors of gender-based violence (GBV),المأوى للناجين من (العنف الجنساني)
Structured social activities (e.g. group activities),الأنشطة الاجتماعية المهيكلة (مثل الأنشطة الجماعية)
Integration of children with disabilities in publi,دمج الأطفال ذوي الإعاقة مع عامة الشعب
Rehabilitation of household level WASH facilities,إعادة تأهيل مرافق المياه والصرف الصحي على مستوى الأسرة.
Non-pharmacological management of mental disorder,الإدارة غير الدوائية للاضطراب العقلي
Support for communal spaces/meetings to discuss,دعم المساحات المجتمعية / الاجتماعات لمناقشة، حل المشاكل وتنظيم أفراد المجتمع للاستجابة للطوارئ
Interventions for alcohol/substance use problems,التدخلات لمشاكل تعاطي الكحول / المخدرات
Specific services for persons with disabilities,خدمات محددة للأشخاص ذوي الإعاقة
11. Immediate Next step  response after referal,الخطوة المباشرة التالية بعد الإحالة
Support for community-based protection networks,دعم شبكات الحماية المجتمعية
Provision of equitable regular cash assistance,تقديم المساعدات النقدية المنتظمة المنصفة
Pharmacological management of mental disorder,الإدارة الدوائية للاضطراب العقلي
Sanitation/Protection from the spread of dise,الصرف الصحي / الحماية من انتشار المرض
Provision of equitable urgent cash assistance,تقديم المساعدات النقدية المنتظمة المنصفة
Monitoring and reporting of protection issues,رصد قضايا الحماية والإبلاغ عنها
Strengthening of community and family support,تعزيز دعم المجتمع والأسرة
Specific legal and physical protection needs,احتياجات الحماية القانونية والمادية المحددة
Early childhood development (ECD) activities,(ECD) أنشطة تنمية الطفولة المبكرة
Individual or group psychological debriefing,الموجز النفسي للفرد أو المجموعة
Benefit from informal/non-formal/lifeskills,الاستفادة من مهارات حياتية رسمية / غير رسمية
Promotion of hygiene and water conservation,تعزيز النظافة والمحافظة على المياه
Financial assistance to vulnerable families,مساعدات مالية للأسر المضطهدة
To be requested by the sending organisation, يكون متطلب من الوكالة المعيدة للاستمارة
Inclusion of CP/SGBV/MHPSSin other sectors,تضمين CP / العنف الجنسي والجنساني/ MHPSS في قطاعات أخرى
Specific Vulnerability Calculation/Scoring,حساب وتقدير مستوى الضعف المحدد
Infrastructure development and maintenance,تطوير وصيانة البنية التحتية
Information dissemination to the community,نشر المعلومات للمجتمع
Strengthening of parenting/family supports,تعزيز جهود دعم تربية الأبناء / الأسرة
Replenishment of new comers' Hygiene Kits,تجديد أطقم النظافة للقادمين الجدد
Education for children with disabilities,التعليم للأطفال ذوي الإعاقة
Access to safe water in host communities,إمكانية الوصول إلى المياه الصالحة للشرب في المجتمعات المضيفة
Client approaches receiving organisation, الباحث عن الخدمة يتصل بالوكالة
Distribution of water storage containers,توزيع خزانات  المياه
Governorate where the service is located,المحافظة حيث تقع الخدمة
Basic counseling for groups or families,الاستشارة الأساسية للمجموعات أو عائلات
Accountability and complaint mecanismts,آليات المساءلة والتقيد
Office location only - walk in distance,موقع المكتب فقط- مسافة المشي
Facilitation for community mobilization,تسهيل حشد المجتمع
UNHCR registration/reception facilities,مرافق تسجيل و استقبال UNHCR
Establishment of safe spaces and CbCPCs,إنشاء مساحات آمنة وCbCPCs
Clinical management of mental disorders,التدبير السريري العلاجي للاضطرابات العقلية
Infant and young child feeding support,دعم تغذية الرضع وصغار الأطفال.
Referral Contact (not shared publicly),معلومات الإحالة (لا يشارك علنا)
District where the service is located,المقاطعة التي تقع فيها الخدمة
Mitigation of hard weather conditions,التخفيف من الظروف الجوية الصعبة
Regular unconditional cash assistance,المساعدات النقدية العادية غير المشروطة
Provision of cash-for-rent assistance,تقديم المساعدة النقدية للايجار
Information on the current situation,معلومات عن الوضع الحالي، وجهود الإغاثة أو الخدمات المتاحة
Camp health referral system training,الصحية في المخيمات
Food assistance in local communities,المساعدات الغذائية في المجتمعات المحلية
Youth-friendly spaces (ages 15 - 24),أماكن ملائمة للشباب (من سن 24 - 15)
Expired and Valid UNHCR ASC and MOI,وثيقة طلب اللجوء و بطاقة الخدمات الصادرة عن وزارة الداخلية صالحتان أو منتهيتان الصلاحية
Hygiene & hygiene products Delivery,تسليم النظافة ومنتجات النظافة
Governorate & Adjacent Governorates,المحافظة والمحافظات المجاورة
Detentions emergency number/visits,رقم الطوارئ للإحتجاز/ زيارات
Psychological support in education,الدعم النفسي في التعليم
Response delay after referrals,تأخر الرد بعد الإحالة
Distribution for Basic needs (NFI),توزيع الاحتياجات الأساسية (المواد غير الغذائية)
Distribution for Basic needs, توزيع الاحتياجات الأساسية (المواد غير الغذائية)
Esssential sanitary items provided,الأدوات الصحية الأساسية المقدمة
Provision of educational supplies,توفير اللوازم التعليمية
Phone call to sender organisation,الاتصال هاتفياً بالمؤسسة التي قامت بالتحويل
Assistance to vulnerable families,المساعدة للأسر الضعيفة
City where the service is located,المدينة التي تقع فيها الخدمة
Training of Government officials,تدريب موظفي الحكومة ومنظمات المجتمع المحلي، والمجتمع المدني، وغيرها على الاستجابة لقضايا اللاجئين
Support for learning  environment,دعم بيئة التعلم
Hotline and follow up home visit, الاتصال بالخط الساخن والزيارة المنزلية المتابعة للاتصال
Registration Type Requirement,متطلب نوع التسجيل
Unaccompanied or separated child,الطفل الغير المصحوب أو المنفصل (UASC)
Shelter for vulnerable families,المأوى للأسرالمضطهدة
Refugee committees / Volunteers,لجان اللاجئين / المتطوعين
Outreach Information hotline,الوصول,  خط المعلومات
Access to sanitation facilities,الوصول إلى مرافق الصرف الصحي
Hygiene kits and Sanitary items,مجموعة من مستلزمات النظافة والمواد الصحية
Physical therapy/rehabilitation,العلاج الفيزيائي / إعادة التأهيل
With consent of the beneficiary,مع موافقة المستفيد
Email to refering organisation,إرسال البريد الإلكتروني إلى المؤسسة التي قامت بالتحويل
Telephone on a per case basis, الإتصال هاتفياً على أساس كل حالة تستجد
Access to safe water in Camps,إمكانية الوصول إلى المياه الصالحة للشرب في المخيمات
In-patient mental health care,الرعاية الصحية العقلية للمرضى تحت العلاج بمستشفى
Community based CP committees,لجان حماية الطفل المجتمعية
Advocacy on protection issues,الدعوة للاستجابة إلى قضايا الحماية
Secondary/Tertiary healthcare,الرعاية الصحية الثانوية / الثلاثية
Training on Basic Life Skills,التدريب على مهارات الحياة الأساسية
Distribution of water filters,توزيع فلاتر المياه
Nutritional Status Impovement,تحسين الحالة الغذائية
New arrivals and replenisment,المواد التي وصلت حديثاً وتجديد المواد
Drainage and road improvement,رفع مستوى الصرف الصحي وتحسين الطرق
Specialized nutritious foods,الأطعمة التغذية المتخصصة
Psychosocial & Mental Health,الصحة النفسية و العقلية
Support for Host Communities,دعم المجتمعات المضيفة
Hygiene promotion activities,أنشطة تعزيز النظافة
Distribution of Hygiene Kits,توزيع أطقم مستلزمات النظافة
Distribution of food parcels,توزيع الطرود الغذائية
Valid UNHCR ASC and MOI card,وثيقة طلب اللجوء و بطاقة الخدمات الصادرة عن وزارة الداخلية صالحتان
Community-focused Protection,الحماية التي تركز على المجتمع
Messages on positive coping,رسائل حول التكيف الإيجابي
Call to arrange  home visit,الاتصال لترتيب زيارة منزلية
Sending back IA form signed, إعادة الاستمارة الموقعة للإحالة بين الوكالات
Orginal Proof of Syrian ID,الإثبات الاصلي للهوية السورية
Water voucher distribution,توزيع قسائم المياه
Psychological intervention,التدخل النفسي
Once per trimester or more,كل ثلاثة أشهر
Copy of Proof of Syrian ID,نسخة عن إثبات الهوية السورية
Single parent or caregiver,الوالد الوحيد أو مقدم الرعاية
Serious medical condition,حالة صحية خطيرة
Email on a per case basis, الإتصال بايميل على أساس كل حالة تستجد
Other nationalities only,جنسيات أخرى فقط
Monthly Cash Assistance,المساعدات النقدية الشهرية
Shelters rehabilitation,إعادة تأهيل الملاجئ
Education opportunities,فرص التعليم
Feedback Mechanism,آلية تبادل التعليقات
Urgent cash assistance,المساعدات النقدية الطارئة
Shelter Rehabilitation,إعادة تأهيل الملاجئ
Child-friendly spaces,مساحات ملائمة للأطفال
Protection monitoring,رصد الحماية
Delay on Case by case, تأخير على أساس كل حالة تستجد
Event entered in RAIS,RAIS أدخل الحدث في
Financial assistance,المساعدة المالية
No feedback mecanism,لا توجد آلية لتبادل التعليقات
Excel Tracking table, جدول اكسل للمتابعة
Older person at risk,مسن في خطر
Detention Monitoring,مراقبة الاحتجاز
Diaper distribution,توزيع الحفاضات
Winterization items,مواد التحضير لفصل الشتاء
Service type Detail,تفاصيل نوع الخدمة
Protection Services,خدمات الحماية
Referral Method,طريقة الإحالة
Availability Day,تاريخ التوفر
Primary healthcare,الرعاية الصحية الأولية
Mental health care,الرعاية الصحية العقلية
Mon-Thurs  and Sat,الاثنين-الخميس والسبت
Office close at,موعد إغلاق المكتب
Teachers training,تدريب المعلمين، وتوفير وسائل النقل والمعدات، والأنشطة الترفيهية
Feedback delay,تأخر الملاحظات
Case by case basis, على أساس كل حالة تستجد
Intake Criteria,معايير القبول
Nutrition Services,خدمات التغذية
Community centers,المراكز المجتمعية
School activities,الأنشطة المدرسية
Remedial Tutoring,الإرشاد العلاجي
Office Open at,موعد فتح المكتب
Food Distribution,توزيع المواد الغذائية
More than a month,أكثر من شهر
Capacity Building,بناء القدرات
Close at 12:30pm,يغلق عند الساعة 12:30 مساء
Close at 18:00pm,يغلق عند الساعة 18:00 مساء
Close at 17:00pm,يغلق عند الساعة 17:00 مساء
Close at 16:00pm,يغلق عند الساعة 16:00 مساء
Close at 15:00pm,يغلق عند الساعة 15:00 مساء
Close at 14:00pm,يغلق عند الساعة 14:00 مساء
Outreach centers,مراكز التوعية
Close at 13:00pm,يغلق عند الساعة 13:00 مساء
Accessibility,القدرة على الوصول
Close at 12:00am,يغلق عند الساعة 12:00 صباحا
Child Protection,حماية الطفل
Household survey,استقصائية للأسر المعيشية
Close at 19:00pm,يغلق عند الساعة 19:00 مساء
Drainage upgrade,رفع مستوى الصرف الصحي
ReferralContact,معلومات الإحالة
Health Services,الخدمات الصحية
Wednesdays only,أيام الأربعاء فقط
Cash & Vouchers,المبالغ النقدية والقسائم
School Uniforms,الزي المدرسي
Women's centres,مراكز نسائية
Jordanians only,الأردنيون فقط
Delay One month,تأجيل شهر واحد
Availability,مدى التوفر
Case Conference,إجتماع مناقشة الحالة
Nationality, الجنسية
Saturdays only,أيام السبت فقط
Legal services,الخدمات القانونية
Delay One week,تأخير أسبوع واحد
Follow up call, الإتصال المتابع
Referrals only,المحالون فقط
Thursdays only,أيام الخميس فقط
No Requirement,لا توجد متطلبات
No restriction,لا توجد قيود
All the above, الاتصال بالخط الساخن والزيارة المنزلية المتابعة للاتصال
Food Security,الأمن الغذائي
Cash For Rent,النقد للإيجار
Child at risk,طفل في خطر
Delay One day,تأخير يوم واحد
Psychotherapy,العلاج النفسي
Tuesdays only,أيام الثلاثاء فقط
Refugee Right,حق اللاجئين
Safety audits,التدقيق على موضوع السلامة
Woman at risk,امرأة في خطر
Orientation,التوجيه أو التدريب أو التوعية مع عمال الاغاثة / الوكالات حول تضمين اعتبارات اجتماعية/ نفسية و بشأن حماية الطفل والعنف الجنساني في البرمجة (تقديم تفاصيل عن ورقة معلومات الخدمات النفسية الاجتماعية و الصحة العقلية و خدمات الحماية )
Mondays only,أيام الاثنين فقط
Once a month,كل شهر
School Visit,زيارة المدرسة
Sundays only,أيام الأحد فقط
Never closed,لا يغلق أبداً
Syrians only,السوريون فقط
Immunization,التطعيم
Fridays only,أيام الجمعة فقط
Family unity,وحدة الأسرة
Water access,إمكانية الحصول على المياه
Countrywide,البلد كله
Open to all,حالة صحية خطيرة
Safe spaces,مساحات آمنة
Once a week,مرة في الأسبوع
Coverage,التغطية
No Referral,لا توجد إحالة
Always open,مفتوح دائما
Disability,إعاقة
PROTECTION,الحماية
UNHCR ASC,وثيقة طلب اللجوء
One month,شهر واحد
Bimonthly,كل شهرين
Sun-Thurs,الأحد-الخميس
Every Day,كل يوم
EDUCATION,التعليم
One time,مرة واحدة
Outreach,المحالون فقط
Clothing,الملابس
MOI card,بطاقة الخدمات الصادرة عن وزارة الداخلية
Biweekly,كل أسبوعين
One week,أسبوع واحد
Drainage,الصرف الصحي
SHELTER,المأوى
Walk-in, الخدمة متوفرة لكل من يطلبها
Torture,ضحايا التعذيب
10:00am,10:00am
10:30am,10:30am
Central,وسط الاردن
14:00pm,14:00pm
11:00am,11:00am
One day,يوم واحد
IA Form, إستمارة للإحالة بين الوكالات
13:00pm,13:00pm
One Off,مرة واحدة فقط
12:00am,12:00am
11:30am,11:30am
0 or 1,0 or 1
HEALTH,الصحة
8:00am,8:00am
8:30am,8:30am
9:00am,9:00am
9:30am,9:30am
North,شمال الاردن
South,جنوب الاردن
FOOD,الغذاء
WASH,المياه والصرف الصحي
SGBV,ضحايا العنف الجنسي والقائم على نوع الجنس
CASH,نقد
RAIS,RAIS
NFI,المواد غير الغذائية
Liwa Qasabah Hai Ramzi Ma’soum Hai Al Hussein,لواء القصبة حي رمزي و حي معصوم وحي الحسين
Liwa al Badiyah ash Shamaliyah al Gharbiyah,لواء  البادية الشمالية الغربية
Liwa Qasabah Southern Marka Nadi ElSebaq,لواء القصبة جنوب ماركا، نادي السباق
Liwa Qasabah Al-Manara Josor Al- Ashra,القصبة لواء المنارة، الجسور العشرة
Liwa Qasabah Al Wehdat Al Sharkheiah,القصبة لواء  الوحدات الشرقية
Liwa Qasabah Al-Hashmi Al-Shamali,القصبة لواء الهاشمي الشمالي
King Abdullah Park Refugee Center,حديقة الملك عبد الله مركز اللاجئين
Liwa Qasabah Prince Ghazi Street,لواء القصبة شارع الأمير غازي 
Liwa Qasabah Al Hashmi Shamali,لواء القصبة الهاشمي الشمالي
Liwa al Badiyah ash Shamaliyah,لواء آل البادية الشمالية
Liwa al Aghwar ash Shamaliyah,لواء الأغوار الشمالية
Liwa Qasabah Ghawr Al Mazr'ha,لواء قصبة غور المزرعة
Liwa ash Shunah al Janubiyah,لواء الشونة الجنوبية
Liwa Qasabah Zarka al Jadida,لواء قصبة الزرقاء الجديدة
Emirati Jordanian Camp (EJC), المخيم الأردنية الإماراتي(EJC)
Liwa Qasabah Sama As Sarhan,لواء القصبة سما السرحان
Zaatari Camp (all district),مخيم الزعتري (جميع المناطق)
Liwa al Aghwar al Janubiyah,لواء الأغوار الجنوبية
Liwa Qasabah South Shouneh,لواء القصبة الشونة الجنوبية
Liwa Qasabah Ghawr Al Safi,لواء القصبة غور الصافي
Liwa Qasabah Ghawr Al Safi,لواء القصبة غور الصافي
Liwa Qasabah Irbid Aydoun,لواء القصبة اربد عيدون
Liwa Qasabah Al-Hashimiya,القصبة لواء آل الهاشمية
Liwa Qasabah North Shuneh,لواء القصبة  الشونة الشمالية
Cyber City Refugee Center,مركز للاجئين مدينة سايبر
Liwa al Mazar ash Shamali,لواء المزار الشمالي 
Liwa Qasabah City center,لواء القصبة مركز المدينة
Liwa Qasabah Al Khaldyah,لواء القصبة  
Liwa Qasabah Al Khaldyah,القصبة لواء الخالدية
Liwa Qasabah Jabal Tareq,لواء القصبة جبل طارق
Liwa Qasabah Al- Hussein,القصبة لواء الحسين
Liwa Mahis wa al Fuhays,لواء ماحص و الفحيص
Liwa Qasabah Ar Rusayfa,لواء القصبة الرصيفية
Liwa Qasabah Al Qatrana,القصبة لواء القطرانة
Liwa Qasabat at Tafilah,لواء القصبات  الطفيلة
Liwa Qasabah Al-Dhilail,لواء قصبة الدحيلة
Liwa Qasabah Nasir Area,لواء القصبة منطقة ناصر 
Liwa al Mazar al Janubi,لواء المزار الجنوبي
Liwa Qasabah Ash Shobak,لواء القصبة  الشوبك
Liwa Qasabah Al-Turrah,لواء القصبة آل الطرة
Liwa Qasabat al Mafraq,لواء القصبات المفرق
Liwa Qasabah Al Mahdod,لواء القصبة المحدود
Liwa Qasabah Kufranjah,لواء القصبة كفرنجة
Liwa Qasabat al Aqabah,القصبات لواء  العقبة
Liwa Qasabah Al Mazar,القصبة ليوا المزار
Liwa Qasabat Az Zarqa,لواء القصبات الزرقاء
Liwa Qasabah Al Keteh,لواء القصبة الكيتيه
Liwa Qasabat al Karak,القصبات لواء الكرك
Liwa Qasabat az Zarqa,لواء القصبات الزرقاء
Azraq Camp Village 1,مخيم الأزرق القرية 1
Azraq Camp Village 6,مخيم الأزرق القرية 6
Liwa Qasabat As Salt,لواء القصبات السلط
Al Balqa Governorate,محافظة البلقاء 
Liwa Qasabah Mahatta,لواء القصبة المحطة
Liwa Qasabah Kafrayn,لواء القصبة كفرين
Azraq Camp Village 2,مخيم الأزرق  القرية 2
Azraq Camp Village 3,مخيم الأزرق  قرية 3
Liwa Qasabah Aqraba,لواءالقصبة عقربا
Liwa Qasabat Madaba,لواء القصبات مادبا
Zaatari District 10,الزعتري القطاع 10
Zaatari District 11,الزعتري القطاع 11
Liwa al Hashimiyyah,لواء آل الهاشمية
Liwa Qasabah Kharja,لواء القصبة خرجة
Liwa Qasabah Zuhour,لواء القصبة زهور
Liwa Qasabat Jarash,لواء القصبات جرش
Tafileh Governorate,محافظة الطفيلة
Zaatari District 12,الزعتري القطاع 12
Zaatari District 9,الزعتري القطاع 9
Liwa Qasabah Mleah,لواء القصبة مليح
Liwa Qasabat Irbid,لواء القصبات اربد
Zaatari District 6,الزعتري القطاع 6
Liwa al Husayniyah,لواء آل الحسينية
Zaatari District 5,الزعتري القطاع 5
Zaatari District 3,الزعتري القطاع 3
Zaatari District 2,الزعتري القطاع 2
Zaatari District 4,الزعتري القطاع 4
Madaba Governorate,محافظة مادبا
Liwa Qasabat Amman,لواء القصبات عمان
Zaatari District 7,الزعتري القطاع 7
Liwa Qasabah Mleah,لواء القصبة مليح
Mafraq Governorate,محافظة المفرق
Liwa Qasabah Nazal,لواء القصبة نزال
Liwa Qasabat Ajlun,لواء القصبات عجلون
Jarash Governorate,محافظة جرش
Zaatari District 1,الزعتري القطاع 1
Zaatari District 8,الزعتري القطاع 8
Zarqa Governorate,محافظة الزرقاء
Irbid Governorate,محافظة اربد
Liwa Bani Kinanah,لواء بني كنانة
Liwa Ayn al Basha,لواء عين الباشا
Liwa al Wasatiyah,لواء الواسطية
Amman Governorate,محافظة عمان
Karak Governorate,محافظة الكرك
Aqaba Governorate,محافظة العقبة
Liwa Wadi as Sayr,لواء وادي السير
Liwa ar Ruwayshid,لواء  الرويشد
Ajlun Governorate,محافظة عجلون
Liwa Qasabat Maan,لواء القصبات معان
Liwa ar Rusayfah,لواء  الرصيفية
Liwa al Muwaqqar,لواء الموقر
Liwa Bani Ubayid,لواء بني عباد
Liwa al Qatranah,لواء القطرانة
Liwa at Tayyibah,لواء الطيبة
Maan Governorate,محافظة معان
Liwa al Quwayrah,لواء القويرية
At Tafilah City,مدينة الطفيلة
Liwa ash Shubak,لواء الشوبك
Liwa Al Quaysmh,لواء القاسمية
Liwa Kufranjah,لواء كفرنجة 
Liwa al Jamiah,لواء الجامية
Ar-Ramtha City,مدينة الرمثا 
Liwa ar Ramtha,لواء الرمثا
Liwa Dayr Alla,لواء دير علا
Liwa al Kurah,لواء آل الكورة
Liwa al Jizah,لواء الجيزة
An Nu3ayyimah,النعيمية
Liwa al Batra,لواء الباترا
Liwa al Qasr,لواء القصر
Liwa al Hasa,لواء الحسا
Country Wide,البلاد على نطاق واسع
As Salt City,مدينة السلط
Liwa Busayra,لواء بيسايره
Jarash City,مدينة جرش 
Madaba City,مدينة مادبا 
Mafraq City,مدينة المفرق
Liwa Dhiban,لواء ذيبان
Irbid City,مدينة اربد
Aqaba City,مدينة العقبة
Liwa Marka,لواء ماركا
Liwa Sahab,لواء سحاب
Karak City,مدينة الكرك 
Azraq City,مدينة الأزرق 
Ajlun City,مدينة عجلون 
Azraq Camp,مخيم الأزرق
Zarqa City,مدينة الزرقاء 
Liwa Faqqu,لواء فقي
Liwa Naur,لواء ناعور
Maan City,مدينة معان 
Souf Camp,مخيم سوف
Liwa Ayy,لواء آي
Non Camp,خارج المخيمات
Kitim,كتيم
Camp,مخيم